t f
0.0 0.0
0.2 -1.76840181293419e-14
0.4 -2.045833290462037e-14
0.6 -1.7110709848178873e-14
0.8 -8.673782888280338e-15
1.0 -1.9483450737996946e-14
1.2 -2.5761342403754583e-15
1.4 -5.126164773291578e-15
1.6 1.470112374766288e-14
1.8 9.104226428233087e-15
2.0 -2.28654782455134e-14
2.2 1.5067556113534358e-14
2.4 -1.238173279440755e-15
2.6 6.3114328917268295e-15
2.8 -3.396472324537242e-15
3.0 2.9128154732948475e-15
3.2 3.5540074476712134e-14
3.4 1.4469875495818745e-14
3.6 2.3646574312323342e-14
3.8 2.1842838794124865e-14
4.0 5.5802824402984825e-15
4.2 2.7129358808588394e-14
4.4 1.4362413513150983e-14
4.6 2.6543971290712025e-14
4.8 2.2558885084693728e-14
5.0 5.636657255693311e-15
5.2 2.8163866265152995e-14
5.4 2.903545750606529e-14
5.6 2.261867455004286e-14
5.8 1.988583256419374e-14
6.0 9.792933560607026e-15
6.2 1.442689981915946e-14
6.4 2.3832323673048194e-14
6.6 4.107846330710273e-14
6.8 1.2754549394215255e-14
7.0 4.964546727550207e-14
7.2 2.0405217815938573e-14
7.4 2.5098921379719103e-14
7.6 2.244717199488699e-14
7.8 3.98983261680625e-14
8.0 4.754600018521853e-14
8.2 3.6268513172354416e-14
8.4 3.6354577111291064e-14
8.6 4.091946525934783e-14
8.8 5.0088218087089654e-14
9.0 3.988201106544587e-14
9.2 4.463316644372298e-13
9.4 1.0042977699884534e-7
9.403125 9.351290543404395e-7
9.40625 1.101647426978168e-6
9.409375 1.2951184055723468e-6
9.4125 1.520134851334334e-6
9.415625 1.7818696990799465e-6
9.41875 2.086212168413081e-6
9.421875 2.4398953837912194e-6
9.425 2.8506279078176396e-6
9.428125 3.327236989601544e-6
9.43125 3.879826783665021e-6
9.434375 4.519955349993106e-6
9.4375 5.260832425976296e-6
9.440625 6.117542218019956e-6
9.44375 7.107292025332551e-6
9.446875 8.249692285997019e-6
9.45 9.567068492525997e-6
9.453125 1.1084812037069276e-5
9.45625 1.2831770322290345e-5
9.459375 1.4840683528703514e-5
9.4625 1.7148670417784658e-5
9.465625 1.9797769796416946e-5
9.46875 2.283554187066742e-5
9.471875 2.6315736246290965e-5
9.475 3.0299032468883396e-5
9.478125 3.485386012632952e-5
9.48125 4.00573049798408e-5
9.484375 4.599611082758199e-5
9.4875 5.2767783219208325e-5
9.490625 6.0481805142740984e-5
9.49375 6.926097396428415e-5
9.496875 7.924286970895424e-5
9.5 9.058146432892491e-5
9.503125 0.00010344888394966389
9.50625 0.0001180373358731095
