t f
0.0 0.0
0.2 -7.273327986322354e-12
0.4 1.4381126650195525e-11
0.6 2.0476918604951346e-11
0.8 -8.522024813417095e-12
1.0 1.730755830719828e-11
1.2 -2.1784263624081018e-11
1.4 -1.924551848586414e-11
1.6 3.643855465622195e-11
1.8 -5.131180682018106e-12
2.0 -2.206016818154004e-12
2.2 -2.1772844041221893e-11
2.4 -7.288299350465423e-11
2.6 -4.827758006849694e-11
2.8 -3.794250601229755e-11
3.0 7.156423290071528e-12
3.2 -8.766985107237301e-11
3.4 1.3847013976561113e-10
3.6 -2.8921629357518436e-11
3.8 -3.1984923140215774e-11
4.0 -4.325846553183672e-12
4.2 4.806727629038158e-11
4.4 8.574757304085507e-11
4.6 4.8797973493450376e-11
4.8 5.256661501730556e-11
5.0 2.8144826891614583e-11
5.2 -1.2131256069157025e-11
5.4 1.8421530762807405e-11
5.6 5.87759616531154e-11
5.8 -2.8311874223384163e-11
6.0 -4.6097736571720045e-11
6.2 -9.027691691861791e-11
6.4 1.6670677847963512e-10
6.6 1.0566500604964424e-11
6.8 1.293122752084598e-10
7.0 1.931819020217595e-12
7.2 1.8134729380788096e-11
7.4 8.191050410134767e-11
7.6 7.509386695933053e-11
7.8 1.629868825350584e-11
8.0 1.674309196980958e-10
8.2 5.972427842132483e-12
8.4 -3.7623596448411246e-11
8.6 1.4471850279466595e-11
8.8 6.859992608279057e-11
9.0 -9.012309436383552e-11
9.2 -1.200437140293159e-10
9.4 8.55393701420878e-7
9.403125 1.0051532614562322e-6
9.40625 1.1798513091871642e-6
9.409375 1.383643627882336e-6
9.4125 1.6213133942850648e-6
9.415625 1.8980771445399867e-6
9.41875 2.2204348163209836e-6
9.421875 2.5947194147025133e-6
9.425 3.0294387457512932e-6
9.428125 3.5341045288649736e-6
9.43125 4.119097744674729e-6
9.434375 4.7964685918209535e-6
9.4375 5.580087866701673e-6
9.440625 6.486397035858413e-6
9.44375 7.5327552017066175e-6
9.446875 8.740332680522752e-6
9.45 1.013226497220616e-5
9.453125 1.1735078463998186e-5
9.45625 1.357944321225242e-5
9.459375 1.5699666180915418e-5
9.4625 1.8134468216245065e-5
9.465625 2.0928041097273222e-5
9.46875 2.4130001264869903e-5
9.471875 2.7797117880802052e-5
9.475 3.199271674398344e-5
9.478125 3.6788310126583174e-5
9.48125 4.226446997726382e-5
9.484375 4.8512008741011284e-5
9.4875 5.563275811435591e-5
9.490625 6.374165629482371e-5
9.49375 7.296614660730207e-5
9.496875 8.345004918598663e-5
9.5 9.535446731798209e-5
9.503125 0.00010885816707460814
9.50625 0.00012416177692363577
9.509375 0.00014148896965598872
9.5125 0.00016108801184207028
9.515625 0.000183235334711782
9.51875 0.00020823882700223196
9.521875 0.00023643959901971346
9.525 0.0002682159150862214
9.528125 0.0003039861752480078
9.53125 0.0003442142044437762
9.534375 0.0003894112213935661
9.5375 0.0004401418662586871
9.540625 0.0004970287657470114
9.54375 0.0005607571151037529
9.546875 0.0006320799468926364
9.55 0.0007118240532311514
9.553125 0.000800897454906867
9.55625 0.0009002943207165249
9.559375 0.001011101768540503
9.5625 0.0011345086330346035
9.565625 0.0012718129250424367
9.56875 0.0014244290874137451
9.571875 0.0015938965170692032
9.575 0.0017818900925397163
9.578125 0.0019902281513873134
9.58125 0.002220883299011934
9.584375 0.002475991662379139
9.5875 0.002757863819080163
9.590625 0.0030689962366532235
9.59375 0.00341208192039623
9.596875 0.003790021786280278
9.6 0.0042059379544076006
9.603125 0.004663183390075405
9.60625 0.0051653552083978
9.609375 0.005716308616769035
9.6125 0.006320165403459764
9.615625 0.006981330067088987
9.61875 0.007704499117982667
9.621875 0.008494675244078266
9.625 0.009357176365787733
9.628125 0.01029764895179549
9.63125 0.011322077846152011
9.634375 0.012436796615480862
9.6375 0.013648495338901783
9.640625 0.01496423052443909
9.64375 0.016391431002437774
9.646875 0.017937904877557784
9.65 0.019611842604434385
9.653125 0.021421821207896246
9.65625 0.023376803507348012
9.659375 0.025486139375766513
9.6625 0.027759560469666933
9.665625 0.030207176299359997
9.66875 0.03283946495049496
9.671875 0.03566726296124394
9.675 0.038701751272952035
9.678125 0.041954438249858936
9.68125 0.04543713904551337
9.684375 0.049161951729813594
9.6875 0.05314123027367965
9.690625 0.057387551580151595
9.69375 0.06191368108315689
9.696875 0.06673253233317072
9.7 0.0718571223912409
9.703125 0.07730052341637858
9.70625 0.08307580997349638
9.709375 0.08919600006307292
9.7125 0.09567399349827989
9.715625 0.10252250463223685
9.71875 0.10975398932110543
9.721875 0.11738057123988709
9.725 0.12541395850123888
9.728125 0.13386536036877655
9.73125 0.1427453971020026
9.734375 0.15206400741658763
9.7375 0.16183035177957278
9.740625 0.17205271270255218
9.74375 0.1827383910066193
9.746875 0.19389360167385555
9.75 0.20552336646755157
9.753125 0.21763140421462515
9.75625 0.23022002214225712
9.759375 0.2432900047911729
9.7625 0.25684050563485966
9.765625 0.27086893735622525
9.76875 0.2853708659371067
9.771875 0.3003399065921331
9.775 0.3157676219007176
9.778125 0.3316434270683167
9.78125 0.34795449763503894
9.784375 0.364685684662663
9.7875 0.38181943706951005
9.790625 0.3993357307551385
9.79375 0.41721200789490454
9.796875 0.4354231250332279
9.8 0.45394131285545564
9.803125 0.47273614595748836
9.80625 0.49177452730547827
9.809375 0.5110206837627194
9.8125 0.5304361771008061
9.815625 0.549979928894096
9.81875 0.569608261518559
9.821875 0.5892749543298377
9.825 0.6089313171516378
9.828125 0.628526280047765
9.83125 0.6480065009064447
9.834375 0.667316488507203
9.8375 0.6863987457581873
9.840625 0.7051939283687513
9.84375 0.723641021587541
9.846875 0.741677533386512
9.85 0.7592397046922756
9.853125 0.7762627353842815
9.85625 0.7926810234667788
9.859375 0.8084284253842282
9.8625 0.8234385176378075
9.865625 0.8376448850375551
9.86875 0.8509814090035904
9.871875 0.8633825704215701
9.875 0.8747837595166663
9.878125 0.8851215937564029
9.88125 0.8943342354458769
9.884375 0.9023617224601377
9.8875 0.9091462885319509
9.890625 0.9146326894868945
9.89375 0.918768527582636
9.896875 0.9215045672093249
9.9 0.9227950410424322
9.903125 0.9225979585414295
9.90625 0.9208753898961534
9.909375 0.917593743957811
9.9125 0.9127240307348843
9.915625 0.9062421014425738
9.91875 0.898128878506408
9.921875 0.8883705531144546
9.925 0.8769587673563365
9.928125 0.8638907726241076
9.93125 0.8491695553273834
9.934375 0.8328039411111379
9.9375 0.8148086694893312
9.940625 0.7952044352463861
9.94375 0.7740179073061385
9.946875 0.7512817059345017
9.95 0.7270343578779201
9.953125 0.7013202159661439
9.95625 0.6741893426728399
9.959375 0.6456973769497114
9.9625 0.6159053492087678
9.965625 0.5848794772078857
9.96875 0.5526909453129278
9.971875 0.51941562619235
9.975 0.48513379695291836
9.978125 0.4499298264869622
9.98125 0.4138918327504436
9.984375 0.3771113250605497
9.9875 0.33968281911147336
9.990625 0.30170344066264865
9.99375 0.26327250538592256
9.996875 0.22449110200820144
10.0 0.1854616430121235
10.003125 0.14628742555223198
10.00625 0.10707217769709768
10.009375 0.06791960351119307
10.0125 0.02893293337703037
10.015625 -0.009785528173715505
10.01875 -0.048134847533229656
10.021875 -0.08601589550993384
10.025 -0.1233317720730566
10.028125 -0.15998821933430485
10.03125 -0.19589401193383216
10.034375 -0.2309613349581096
10.0375 -0.26510613388629256
10.040625 -0.29824845925090565
10.04375 -0.33031275560995615
10.046875 -0.3612281533022676
10.05 -0.3909287220901254
10.053125 -0.4193536924245389
10.05625 -0.4464476475437531
10.059375 -0.4721606845973778
10.0625 -0.49644855546413424
10.065625 -0.519272752920391
10.06875 -0.5406005909822782
10.071875 -0.5604052286211538
10.075 -0.5786656860251367
10.078125 -0.5953668100538375
10.08125 -0.610499218039469
10.084375 -0.624059217643411
10.0875 -0.6360486886404544
10.090625 -0.6464749428924104
10.09375 -0.6553505634887702
10.096875 -0.6626932117091175
10.1 -0.6685254190716186
10.103125 -0.6728743570463086
10.10625 -0.6757715891587673
10.109375 -0.6772528089794967
10.1125 -0.6773575590272968
10.115625 -0.6761289476079745
10.11875 -0.6736133454378442
10.121875 -0.6698600840841017
10.125 -0.6649211409890063
10.128125 -0.6588508298833564
10.13125 -0.6517054828603772
10.134375 -0.6435431359603669
10.1375 -0.6344232194554238
10.140625 -0.6244062465199801
10.14375 -0.6135535189176589
10.146875 -0.6019268268567847
10.15 -0.589588166970859
10.153125 -0.5765994707367794
10.15625 -0.5630223386637822
10.159375 -0.5489177924912935
10.1625 -0.5343460405869869
10.165625 -0.5193662549356445
10.16875 -0.50403636518234
10.171875 -0.48841286969852443
10.175 -0.4725506597197393
10.178125 -0.45650286143029434
10.18125 -0.44032069576042754
10.184375 -0.42405335225173435
10.1875 -0.4077478809849392
10.190625 -0.39144910060330906
10.19375 -0.3751995218588141
10.196875 -0.35903928726625545
10.2 -0.3430061255430562
10.203125 -0.3271353209111475
10.20625 -0.31145969614689484
10.209375 -0.2960096096851498
10.2125 -0.28081296364028996
10.215625 -0.26589522645868774
10.21875 -0.2512794632473541
10.221875 -0.23698637944180487
10.225 -0.2230343718597964
10.228125 -0.209439588932407
10.23125 -0.19621599899577283
10.234375 -0.18337546428708118
10.2375 -0.1709278221399203
10.240625 -0.15888097085801584
10.24375 -0.1472409588935793
10.246875 -0.1360120792434364
10.25 -0.12519696504651068
10.253125 -0.11479668821506281
10.25625 -0.1048108588425472
10.259375 -0.0952377249239509
10.2625 -0.0860742732712519
10.265625 -0.07731632744303382
10.26875 -0.0689586482331354
10.271875 -0.06099502835151781
10.275 -0.05341838856288921
10.278125 -0.046220869012854965
10.28125 -0.039393919619100534
10.284375 -0.032928384537615145
10.2875 -0.026814587310008235
10.290625 -0.021042407938468816
10.29375 -0.01560135924754107
10.296875 -0.010480659207175367
10.3 -0.005669296652664864
10.303125 -0.0011560951494413972
10.30625 0.003070227474368198
10.309375 0.0070210047336789
10.3125 0.010707570508780354
10.315625 0.014141213627817006
10.31875 0.017333132790146533
10.321875 0.02029440089673114
10.325 0.023035928938926347
10.328125 0.025568434331635
10.33125 0.027902415692027806
