t f
0.0 -0.0
0.2 -0.0
0.4 -0.0
0.6 -0.0
0.8 -0.0
1.0 -0.0
1.2 -0.0
1.4 -0.0
1.6 -0.0
1.8 -0.0
2.0 -0.0
2.2 -0.0
2.4 -0.0
2.6 -0.0
2.8 -0.0
3.0 -0.0
3.2 -0.0
3.4 -0.0
3.6 -0.0
3.8 -0.0
4.0 -0.0
4.2 -0.0
4.4 -0.0
4.6 -0.0
4.8 -0.0
5.0 -0.0
5.2 -0.0
5.4 -0.0
5.6 -0.0
5.8 -0.0
6.0 -0.0
6.2 -0.0
6.4 -0.0
6.6 -0.0
6.8 -0.0
7.0 -0.0
7.2 -0.0
7.4 -0.0
7.6 -0.0
7.8 -0.0
8.0 -0.0
8.2 -0.0
8.4 -0.0
8.6 -0.0
8.8 -0.0
9.0 -0.0
9.2 8.866755492655573e-14
9.4 2.2507034943852157e-8
9.403125 2.6577382267797112e-8
9.40625 3.1356611774323056e-8
9.409375 3.6963157544097475e-8
9.4125 4.3534344126392677e-8
9.415625 5.122924515456993e-8
9.41875 6.023194892114475e-8
9.421875 7.075528476564117e-8
9.425 8.304507063120952e-8
9.428125 9.738494934329967e-8
9.43125 1.1410188911607543e-7
9.434375 1.3357243256499404e-7
9.4375 1.5622978816608917e-7
9.440625 1.8257186872472642e-7
9.44375 2.1317039307648037e-7
9.446875 2.486811800170499e-7
9.45 2.898557774295437e-7
9.453125 3.375545848310106e-7
9.45625 3.9276164417977333e-7
9.459375 4.566012918627133e-7
9.4625 5.303568844029817e-7
9.465625 6.154918316846203e-7
9.46875 7.136731944720367e-7
9.471875 8.267981277909291e-7
9.475 9.570234784257816e-7
9.478125 1.1067988734498535e-6
9.48125 1.2789036674154203e-6
9.484375 1.4764881486668438e-6
9.4875 1.7031194402420215e-6
9.490625 1.9628325680660314e-6
9.49375 2.2601872086292906e-6
9.496875 2.6003306701104713e-6
9.5 2.989067704956295e-6
9.503125 3.432937798224123e-6
