t f
9.4 9.77437811204205e-7
9.4025 9.774378112040106e-7
9.405 1.102936720230383e-6
9.4075 1.2420160078161945e-6
9.41 1.3956787515855659e-6
9.4125 1.6343486483724135e-6
9.415 1.8426754617814927e-6
9.4175 2.073604086863909e-6
9.42 2.3288861621880555e-6
9.4225 2.6102733263320283e-6
9.425 3.045700166274188e-6
9.4275 3.424354794329917e-6
9.43 3.842997070993304e-6
9.4325 4.304635855903601e-6
9.435 4.812280008704196e-6
9.4375 5.5948924605060604e-6
9.44 6.272923883847003e-6
9.4425 7.020601248788361e-6
9.445 7.843007567913563e-6
9.4475 8.745225853838714e-6
9.45 1.0130927091083681e-5
9.4525 1.1326956256384554e-5
9.455 1.2642386414731581e-5
9.4575 1.4085661279773156e-5
9.46 1.5665224565136448e-5
9.4625 1.8082128062826803e-5
9.465 2.0160360607311264e-5
9.4675 2.2440065044292166e-5
9.47 2.493503060121141e-5
9.4725 2.7659046505436713e-5
9.475 3.181135317072807e-5
9.4775 3.536832121376577e-5
9.48 3.925983999500166e-5
9.4825 4.35080427814198e-5
9.485 4.813506284018565e-5
9.4875 5.51614370786672e-5
9.49 6.115755271778617e-5
9.4925 6.770029633677934e-5
9.495 7.482457719302947e-5
9.4975 8.25653045439934e-5
9.5 9.42752198448078e-5
9.5025 0.0001042300177473013
9.505 0.00011506351332810602
9.5075 0.00012682979446634592
9.51 0.00013958294904167448
9.5125 0.00015880160198169604
9.515 0.00017507703919160771
9.5175 0.00019274189476615905
9.52 0.0002118784657190477
9.5225 0.00023256904906363888
9.525 0.0002636290752986382
9.5275 0.0002898309744944004
9.53 0.00031819356546507064
9.5325 0.0003488397700219569
9.535 0.00038189250997533214
9.5375 0.0004313178679534732
9.54 0.00047285067258039245
9.5425 0.0005176873969129488
9.545 0.0005660081967799733
9.5475 0.0006179932280126736
9.55 0.0006954255688176093
9.5525 0.0007602386224489422
9.555 0.0008300180850217021
9.5575 0.0009050229124273425
9.56 0.0009855120605582652
9.5625 0.0011049302233708089
9.565 0.0012044927858415007
9.5675 0.001311392343724045
9.57 0.0014259937381642955
9.5725 0.0015486618103140904
9.575 0.0017299374524800137
9.5775 0.0018804720125242666
9.58 0.0020416560263494354
9.5825 0.0022139929715091246
9.585 0.0023979863255533308
9.5875 0.00266879912957012
9.59 0.002892785141136514
9.5925 0.0031319528890980186
9.595 0.003386982342264789
9.5975 0.003658553469436938
9.6 0.004056653519731409
9.6025 0.004384583263640424
9.605 0.004733761559161935
9.6075 0.005105086207109018
9.61 0.005499455008316244
9.6125 0.00607520383769679
9.615 0.0065475258669570055
9.6175 0.007049032331066746
9.62 0.0075808806677910975
9.6225 0.008144228314903426
9.625 0.008963271162497096
9.6275 0.00963239326527734
9.63 0.01034082982395729
9.6325 0.011090035411372424
9.635 0.011881464600404857
9.6375 0.013027285037557781
9.64 0.013959428692490587
9.6425 0.01494348256286911
9.645 0.01598122478465314
9.6475 0.017074433493774542
9.65 0.018650422252040427
9.6525 0.01992702880041349
9.655 0.02127076526564445
9.6575 0.022683740006796484
9.66 0.02416806138286581
9.6625 0.026298604512826666
9.665 0.028016898865666585
9.6675 0.029820136654397315
9.67 0.031710733045877945
9.6725 0.033691103207100725
9.675 0.03652107868373332
9.6775 0.038793313663148844
9.68 0.041170595121824076
9.6825 0.04365558029764405
9.685 0.046250926428543976
9.6875 0.049942916742501425
9.69 0.052893770366634646
9.6925 0.05597139516806782
9.695 0.05917857363057479
9.6975 0.06251808823817916
9.7 0.06724660081787606
9.7025 0.07100820271337155
9.705 0.07491880976003457
9.7075 0.07898115215976365
9.71 0.08319796011431277
9.7125 0.08914002896772638
9.715 0.09384417581279986
9.7175 0.09871845702869841
9.72 0.10376530813591354
9.7225 0.1089871646546357
9.725 0.11630891644512013
9.7275 0.1220762200959329
9.73 0.12803155198769936
9.7325 0.13417674817629055
9.735 0.14051364471814642
9.7375 0.14935276969175137
9.74 0.1562787769050504
9.7425 0.16340487006315071
9.745 0.17073193027467148
9.7475 0.1782608386484356
9.75 0.1887054099634944
9.7525 0.19684413886500757
9.755 0.20518622758959412
9.7575 0.21373121785038762
9.76 0.22247865136142125
9.7625 0.23454336922563057
9.765 0.24388919598397885
9.7675 0.2534297881412822
9.77 0.26316296848338
9.7725 0.2730865597956114
9.775 0.28668819053423883
9.7775 0.29715754747030426
9.78 0.3077982834579186
9.7825 0.3186061706694965
9.785 0.32957698127653245
9.7875 0.34451144698319863
9.79 0.3559262877875348
9.7925 0.36747193640217896
9.795 0.37914188042454194
9.7975 0.3909296074536422
9.8 0.40685372806196246
9.8025 0.41892909055428784
9.805 0.43107605261283355
9.8075 0.44328573397424337
9.81 0.4555492543757202
9.8125 0.47197044037272984
9.815 0.4843085921912805
9.8175 0.49664039793479
9.82 0.5089547236902587
9.8225 0.5212404355468386
9.825 0.5375175449977277
9.8275 0.5496110590571968
9.83 0.5616031406290266
9.8325 0.573480749638397
9.835 0.5852308460093256
9.8375 0.600588879921726
9.84 0.6118344760611191
9.8425 0.6228699335946474
9.845 0.6336809004780076
9.8475 0.6442530246650806
9.85 0.657813272550193
9.8525 0.6675373910776693
9.855 0.6769345290000447
9.8575 0.6859898534985142
9.86 0.6946885317571683
9.8625 0.7055142861608132
9.865 0.7130101443500029
9.8675 0.7200613076296951
9.87 0.726653487950769
9.8725 0.7327723972651061
9.875 0.739928494730369
9.8775 0.7445029601617165
9.88 0.7485227549832089
9.8825 0.7519752794693508
9.885 0.7548479338978167
9.8875 0.7574704233543021
9.89 0.7584975573621325
9.8925 0.7588770707092618
9.895 0.7585992170579837
9.8975 0.7576542500689658
9.9 0.7550246302069542
9.9025 0.7520014454558974
9.905 0.7482638242365833
9.9075 0.7438059437303354
9.91 0.738621981116354
9.9125 0.730239071995127
9.915 0.722838100077807
9.9175 0.7146899907071251
9.92 0.7057936965775246
9.9225 0.6961481703864089
9.925 0.6817899739854334
9.9275 0.6699028938054299
9.93 0.6572759902093679
9.9325 0.6439135184001282
9.935 0.6298197335815601
9.9375 0.609587853041885
9.94 0.5933547425440051
9.9425 0.5764321630391231
9.945 0.5588297845178452
9.9475 0.5405572769730443
9.95 0.5148976420531236
9.9525 0.49471754413740004
9.955 0.4739409400184407
9.9575 0.4525825796656215
9.96 0.43065721304718474
9.9625 0.40035303676260325
9.965 0.37687319967792343
9.9675 0.3529283593952063
9.97 0.3285375558236903
9.9725 0.3037198288717945
9.975 0.26985545361148844
9.9775 0.2439389104236132
9.98 0.21771986284313638
9.9825 0.191220459714469
9.985 0.16446284988278925
9.9875 0.12836044095835783
9.99 0.10103392643397842
9.9925 0.07358798649503125
9.995 0.04604640194121642
9.9975 0.018432953572469483
10.0 -0.018432953572452046
10.0025 -0.04604640194119026
10.005 -0.07358798649507485
10.0075 -0.10103392643397842
10.01 -0.12836044095823576
