t f
9.4 7.671157868907452e-8
9.4025 7.671157868905927e-8
9.405 8.656102314968314e-8
9.4075 9.747628710956125e-8
9.41 1.0953609441916465e-7
9.4125 1.282674595845056e-7
9.415 1.4461742943085932e-7
9.4175 1.627412416995343e-7
9.42 1.8277636903414407e-7
9.4225 2.0486028407906372e-7
9.425 2.390335889304551e-7
9.4275 2.687512793687789e-7
9.43 3.0160729289793765e-7
9.4325 3.378377717771474e-7
9.435 3.7767885826594883e-7
9.4375 4.3910009242660044e-7
9.44 4.923135657433365e-7
9.4425 5.509930135376435e-7
9.445 6.155373623860275e-7
9.4475 6.863455388675589e-7
9.45 7.950985748990833e-7
9.4525 8.88965708313301e-7
9.455 9.92203707647192e-7
9.4575 1.1054752550648206e-6
9.46 1.229443032728585e-6
9.4625 1.4191272056976606e-6
9.465 1.5822316994495485e-6
9.4675 1.7611481730099898e-6
9.47 1.956958836821271e-6
9.4725 2.170745901319857e-6
9.475 2.496628526121569e-6
9.4775 2.77578759977337e-6
9.48 3.081202988645022e-6
9.4825 3.414611762688629e-6
9.485 3.7777509918705333e-6
9.4875 4.329197082983081e-6
9.49 4.7997860978610505e-6
9.4925 5.313275740084414e-6
9.495 5.8724057688624e-6
9.4975 6.479915943410051e-6
9.5 7.3989371627080166e-6
9.5025 8.180212711778651e-6
9.505 9.030450485679355e-6
9.5075 9.953895426183393e-6
9.51 1.0954792475105578e-5
9.5125 1.2463116780147704e-5
9.515 1.374045071169375e-5
9.5175 1.5126829408021087e-5
9.52 1.6628711728987372e-5
9.5225 1.8252556534424167e-5
9.525 2.0690219186000357e-5
9.5275 2.2746604798382798e-5
9.53 2.497256649551838e-5
9.5325 2.7377751465282052e-5
9.535 2.9971806895467517e-5
9.5375 3.385082323217411e-5
9.54 3.711041373889971e-5
9.5425 4.0629303500857835e-5
9.545 4.442163156391029e-5
9.5475 4.850153697410538e-5
9.55 5.457860605885771e-5
9.5525 5.966528431779861e-5
9.555 6.514173782990167e-5
9.5575 7.102829005208307e-5
9.56 7.73452644413334e-5
9.5625 8.671747788395958e-5
9.565 9.453137791719733e-5
9.5675 0.00010292110230920864
9.57 0.00011191528463641993
9.5725 0.00012154255847572726
9.575 0.00013576948987639777
9.5775 0.00014758379009671875
9.58 0.00016023388406508798
9.5825 0.0001737592858636585
9.585 0.0001881995095743004
9.5875 0.0002094535243946895
9.59 0.0002270324643073564
9.5925 0.0002458029019836258
9.595 0.0002658182029474097
9.5975 0.000287131732721832
9.6 0.0003183755448439198
9.6025 0.0003441122291280812
9.605 0.00037151654885704164
9.6075 0.00040065896551380283
9.61 0.00043160994058305324
9.6125 0.0004767960395081142
9.615 0.0005138649640973316
9.6175 0.0005532243505909205
9.62 0.0005949650373800055
9.6225 0.000639177862856361
9.625 0.000703458238684567
9.6275 0.0007559724879305501
9.63 0.0008115722265476195
9.6325 0.0008703716127740267
9.635 0.0009324848048516843
9.6375 0.0010224114412275742
9.64 0.0010955682298388145
9.6425 0.0011727990521443572
9.645 0.0012542434603643388
9.6475 0.0013400410067167048
9.65 0.001463728247231644
9.6525 0.0015639192799172506
9.655 0.0016693788236430542
9.6575 0.001780272347301629
9.66 0.001896765319780293
9.6625 0.0020639752691919127
9.665 0.0021988309816965046
9.6675 0.002340353251389457
9.67 0.0024887316261483264
9.6725 0.002644155653861122
9.675 0.0028662586705189234
9.6775 0.003044588923784607
9.68 0.003231163467548746
9.6825 0.0034261908479825396
9.685 0.0036298796112611284
9.6875 0.0039196355448274005
9.69 0.004151225357900781
9.6925 0.004392764465989638
9.695 0.004644471244852021
9.6975 0.004906564070265581
9.7 0.00527766866708163
9.7025 0.005572887878468357
9.705 0.005879801358531659
9.7075 0.006198623379827166
9.71 0.006529568214899165
9.7125 0.006995915513110352
9.715 0.007365107830753796
9.7175 0.007747652687070963
9.72 0.00814374122733953
9.7225 0.008553564596813544
9.725 0.00912819260094779
9.7275 0.00958082392210371
9.73 0.010048212134221232
9.7325 0.010530501335209006
9.735 0.011027835623020328
9.7375 0.011721550581847106
9.74 0.012265119636833341
9.7425 0.012824391899249516
9.745 0.013399436520536665
9.7475 0.01399032265215182
9.75 0.01481003675071087
9.7525 0.015448783006892928
9.755 0.016103489412039013
9.7575 0.016774119998736556
9.76 0.017460638799643585
9.7625 0.01840750574421324
9.765 0.01914098783030548
9.7675 0.019889755555091645
9.77 0.020653638045771965
9.7725 0.021432464429507407
9.775 0.02249995184890699
9.7775 0.023321611180292526
9.78 0.02415672073577197
9.7825 0.02500494870566415
9.785 0.025865963280215686
9.7875 0.027038054668643532
9.79 0.027933917759417858
9.7925 0.028840046949496472
9.795 0.0297559311304713
9.7975 0.03068105919406044
9.8 0.03193082098667465
9.8025 0.03287852334626302
9.805 0.03383184500530477
9.8075 0.03479008902020572
9.81 0.035752558447415574
9.8125 0.037041331080659205
9.815 0.038009657753985286
9.8175 0.03897748637267372
9.82 0.03994394312149718
9.8225 0.040908154185397214
9.825 0.04218561935828042
9.8275 0.04313474629481405
9.83 0.044075912575265046
9.8325 0.04500809478442047
9.835 0.04593026950697618
9.8375 0.04713560350723253
9.84 0.04801818388550723
9.8425 0.04888427210027585
9.845 0.04973274176992792
9.8475 0.05056246651271044
9.85 0.05162670611011315
9.8525 0.052389877408636355
9.855 0.0531273865134829
9.8575 0.05383806931074817
9.86 0.054520761686754765
9.8625 0.055370391915178896
9.865 0.05595868419191591
9.8675 0.05651207578428046
9.87 0.05702944533315192
9.8725 0.05750967147948833
9.875 0.05807129854928307
9.8775 0.05843031316982955
9.88 0.05874579595883987
9.8825 0.05901675806073395
9.885 0.05924221062018045
9.8875 0.05944802965439052
9.89 0.059528641505459425
9.8925 0.05955842659015549
9.895 0.059536619993367706
9.8975 0.0594624567998574
9.9 0.05925607815494031
9.9025 0.05901881162783861
9.905 0.05872547447534793
9.9075 0.05837560970919957
9.91 0.0579687603409582
9.9125 0.05731085025673084
9.915 0.05673000487393184
9.9175 0.05609052241684725
9.92 0.055392320690516215
9.9225 0.05463531750021021
9.925 0.05350845305889129
9.9275 0.05257552753037276
9.93 0.051584538950121994
9.9325 0.05053582127629663
9.935 0.049429708467130296
9.9375 0.04784186371807649
9.94 0.04656785168472536
9.9425 0.04523972853005474
9.945 0.04385825317727878
9.9475 0.04242418454978954
9.95 0.040410357091173674
9.9525 0.03882657636213879
9.955 0.037195980447499756
9.9575 0.03551972695894651
9.96 0.03379897350808002
9.9625 0.03142063170769658
9.965 0.029577879821610836
9.9675 0.027698633409727117
9.97 0.025784386768131617
9.9725 0.02383663419284621
9.975 0.021178879747745672
9.9775 0.019144889534438752
9.98 0.017087158077186852
9.9825 0.015007423668494549
9.985 0.012907424600926636
9.9875 0.010074024100837865
9.99 0.007929376078011252
9.9925 0.005775355272607504
9.995 0.0036138280567544114
