t f
0.0 0.0
0.2 -1.5886363335937403e-9
0.4 -1.426397000514612e-9
0.6 -1.393372750513322e-9
0.8 -1.3373744334188586e-9
1.0 -1.32428679133767e-9
1.2 -1.3058438774748993e-9
1.4 -1.3140367127739694e-9
1.6 -1.3176389423996682e-9
1.8 -1.298635143864857e-9
2.0 -1.295703100367973e-9
2.2 -1.3128504394721574e-9
2.4 -1.2878546007399905e-9
2.6 -1.2911852143027147e-9
2.8 -1.2837469975934823e-9
3.0 -1.3011329791368098e-9
3.2 -1.278816996741483e-9
3.4 -1.2977208196929269e-9
3.6 -1.316576958565463e-9
3.8 -1.3121697617357597e-9
4.0 -1.2911648417102128e-9
4.2 -1.3104529683616306e-9
4.4 -1.3184897618145897e-9
4.6 -1.278760319856076e-9
4.8 -1.2925721049050765e-9
5.0 -1.3058830128365173e-9
5.2 -1.3019066380515198e-9
5.4 -1.2884758260334195e-9
5.6 -1.311130704007013e-9
5.8 -1.302217778054171e-9
6.0 -1.2994072484673325e-9
6.2 -1.3045933222599615e-9
6.4 -1.2968552343117778e-9
6.6 -1.3124692443966524e-9
6.8 -1.3116811525826222e-9
7.0 -1.321644460539062e-9
7.2 -1.3117236741244653e-9
7.4 -1.306683705681877e-9
7.6 -1.2891438472273364e-9
7.8 -1.29839633489226e-9
8.0 -1.3025414635770005e-9
8.2 -1.2989562203635785e-9
8.4 -1.286844630854489e-9
8.6 -1.3222277717162e-9
8.8 -1.3044834101805236e-9
9.0 -1.3024547551587773e-9
9.2 -1.3087478878404113e-9
9.4 1.0292370494768832e-7
9.403125 9.572330770257764e-7
9.40625 1.1559412095851762e-6
9.409375 1.3725140583509265e-6
9.4125 1.6177281209062144e-6
9.415625 1.89987199777919e-6
9.41875 2.226468979960039e-6
9.421875 2.6052788077435274e-6
9.425 3.0448557453710556e-6
9.428125 3.5547893966758615e-6
9.43125 4.145949881739774e-6
9.434375 4.830727132087986e-6
9.4375 5.62329302661313e-6
9.440625 6.539804583594044e-6
9.44375 7.598676497799772e-6
9.446875 8.820920776642094e-6
9.45 1.023042977199573e-5
9.453125 1.1854370264852143e-5
9.45625 1.3723652967756461e-5
9.459375 1.5873344083705554e-5
9.4625 1.8343173391610623e-5
9.465625 2.117814463770129e-5
9.46875 2.4429211397225536e-5
9.471875 2.8153934707120243e-5
9.475 3.241730140213228e-5
9.478125 3.729258740864383e-5
9.48125 4.286238865508496e-5
9.484375 4.92196029266978e-5
9.4875 5.646864604835766e-5
9.490625 6.472686210329259e-5
9.49375 7.412575331600113e-5
9.496875 8.481274331656463e-5
9.5 9.695277774823818e-5
9.503125 0.00011073030758340652
9.50625 0.00012635124398974185
9.509375 0.00014404535220263748
9.5125 0.00016406856264500336
9.515625 0.00018670574568585563
9.51875 0.00021227361613090912
9.521875 0.0002411238672764271
9.525 0.00027364654414785416
9.528125 0.0003102738108842762
9.53125 0.00035148386551381305
9.534375 0.00039780527534133414
9.5375 0.000449821655758853
9.540625 0.0005081765352721312
9.54375 0.0005735787019681693
9.546875 0.0006468079167000207
9.55 0.0007287210239427799
9.553125 0.0008202583413645659
9.55625 0.0009224506261893417
9.559375 0.0010364263298227039
9.5625 0.0011634194519870578
9.565625 0.0013047775133310235
9.56875 0.0014619704516100063
9.571875 0.0016365994698153141
9.575 0.001830406669892537
9.578125 0.0020452850075738382
9.58125 0.002283288668508021
9.584375 0.002546643925822323
9.5875 0.002837760325385741
9.590625 0.003159242325178502
9.59375 0.003513901302411082
9.596875 0.003904767834433387
9.6 0.0043351042718448585
9.603125 0.0048084176094286835
9.60625 0.005328472518736693
9.609375 0.005899304438070074
9.6125 0.00652523288446788
9.615625 0.007210874594785754
9.61875 0.007961156653269963
9.621875 0.008781329462514198
9.625 0.009676979147458187
9.628125 0.010654039994173137
9.63125 0.011718805909216479
9.634375 0.012877941561880546
9.6375 0.01413849245526172
9.640625 0.015507894078637341
9.64375 0.01699398019662951
9.646875 0.018604989280166573
9.65 0.020349570156348307
9.653125 0.022236785428264294
9.65625 0.02427611323849993
9.659375 0.026477447042567992
9.6625 0.028851092883520335
9.665625 0.03140776446527868
9.66875 0.034158575310667794
9.671875 0.03711502791463553
9.675 0.04028900019657014
9.678125 0.04369272788561859
9.68125 0.047338784079297896
9.684375 0.05124005433842874
9.6875 0.055409708512499045
9.690625 0.05986116751137624
9.69375 0.06460806660475879
9.696875 0.06966421345004892
9.7 0.07504354209968239
9.703125 0.08076006159142016
9.70625 0.08682780018314504
9.709375 0.09326074413713331
9.7125 0.10007277191620034
9.715625 0.10727758295972767
9.71875 0.11488862154780402
9.721875 0.12291899602222303
9.725 0.1313813926797298
9.728125 0.14028798468481293
9.73125 0.14965033782171905
9.734375 0.1594793099871771
9.7375 0.1697849481948835
9.740625 0.18057638118984198
9.74375 0.19186170880283504
9.746875 0.20364788838303183
