t f
0.0 0.0
0.2 -1.4347560917116198e-9
0.4 -1.2982833696995044e-9
0.6 -1.2666324655796757e-9
0.8 -1.212196010236255e-9
1.0 -1.189259912770524e-9
1.2 -1.2325754861208793e-9
1.4 -1.2426021878120252e-9
1.6 -1.2359060441724523e-9
1.8 -1.2510604774362832e-9
2.0 -1.1342827788141108e-9
2.2 -1.2624029599450637e-9
2.4 -1.1539129096682643e-9
2.6 -1.2727525700029219e-9
2.8 -1.1862397175654849e-9
3.0 -1.2093230306042813e-9
3.2 -1.16275206130112e-9
3.4 -1.23749022140629e-9
3.6 -1.1949030653823911e-9
3.8 -1.2190367049136341e-9
4.0 -1.2506280455681917e-9
4.2 -1.2358588596939057e-9
4.4 -1.3461503023393107e-9
4.6 -1.2790192238654186e-9
4.8 -1.2042970509718032e-9
5.0 -1.194020160522058e-9
5.2 -1.3256268305283925e-9
5.4 -1.3501759155154502e-9
5.6 -1.2244577018982739e-9
5.8 -1.137470562184717e-9
6.0 -1.1515709497089688e-9
6.2 -1.2795122183995034e-9
6.4 -1.084386636041046e-9
6.6 -1.2269043003776403e-9
6.8 -1.1703005231566976e-9
7.0 -1.144753403181653e-9
7.2 -1.2355020895249424e-9
7.4 -1.2318809305966738e-9
7.6 -1.209872202423412e-9
7.8 -1.2934108784001808e-9
8.0 -1.3110572072427829e-9
8.2 -1.1223807994120705e-9
8.4 -1.112819891790906e-9
8.6 -1.320261122650379e-9
8.8 -1.2237810209647648e-9
9.0 -1.1460208892977164e-9
9.2 -1.2649949421295048e-9
9.4 9.088181501248904e-7
9.403125 1.0679915414257835e-6
9.40625 1.2539744169703937e-6
9.409375 1.471053575119452e-6
9.4125 1.7241009230284376e-6
9.415625 2.018782232771077e-6
9.41875 2.362035325220724e-6
9.421875 2.7606964462800754e-6
9.425 3.2236941578389633e-6
9.428125 3.761526966683526e-6
9.43125 4.384553741687558e-6
9.434375 5.106520397313297e-6
9.4375 5.9415973613918815e-6
9.440625 6.907122206634142e-6
9.44375 8.02244093367488e-6
9.446875 9.309374626675915e-6
9.45 1.0792907205126046e-5
9.453125 1.2502038016115602e-5
9.45625 1.4468327940941883e-5
9.459375 1.672879123121307e-5
9.4625 1.932512234836814e-5
9.465625 2.2304219279567494e-5
9.46875 2.571968850473283e-5
9.471875 2.963128263633319e-5
9.475 3.410694170541406e-5
9.478125 3.9223174304159336e-5
9.48125 4.506614562749256e-5
9.484375 5.173292906218707e-5
9.4875 5.9332499044773e-5
9.490625 6.798649730566098e-5
9.49375 7.783263427174614e-5
9.496875 8.90243078796038e-5
9.5 0.00010173302410210194
9.503125 0.00011615081269272798
9.50625 0.0001324921763379283
9.509375 0.00015099523480527344
9.5125 0.00017192666252641153
9.515625 0.00019558229473948252
9.51875 0.0002222908776948751
9.521875 0.0002524176221885832
9.525 0.00028636701589818125
9.528125 0.00032458736578322434
9.53125 0.0003675746503384869
9.534375 0.000415876291614381
9.5375 0.0004700969865119031
9.540625 0.0005309029685123812
9.54375 0.0005990275452629756
9.546875 0.0006752777091957873
9.55 0.0007605393486236345
9.553125 0.000855784142896332
9.55625 0.0009620769750877112
9.559375 0.00108058339220507
9.5625 0.0012125771914981431
9.565625 0.0013594479785304925
9.56875 0.001522712103930346
9.571875 0.0017040197979861782
9.575 0.0019051662264955582
9.578125 0.002128100392972232
9.58125 0.002374936979946618
9.584375 0.0026479660229803414
9.5875 0.0029496664741687773
9.590625 0.0032827141844598007
9.59375 0.0036499976986745786
9.596875 0.00405462953104091
9.6 0.004499957345362737
9.603125 0.004989579219343343
9.60625 0.005527354927173711
9.609375 0.006117420113055161
9.6125 0.006764199329464149
9.615625 0.007472418622411325
9.61875 0.008247119665429903
9.621875 0.009093671687382121
9.625 0.010017784324501733
9.628125 0.011025519715950893
9.63125 0.01212330445969828
9.634375 0.013317938250773653
9.6375 0.01461660694394662
9.640625 0.016026888846531973
9.64375 0.017556763269518882
9.646875 0.019214617553394764
9.65 0.021009250440871485
9.653125 0.02294987648036889
9.65625 0.025046125700910582
9.659375 0.02730804442812329
9.6625 0.029746090659882596
9.665625 0.032371128116255865
9.66875 0.03519441754855096
9.671875 0.038227606571867745
9.675 0.041482712586144055
9.678125 0.04497210538542096
9.68125 0.04870848637702385
9.684375 0.05270486067226443
9.6875 0.056974508556578124
9.690625 0.061530951288107205
9.69375 0.06638791226812182
9.696875 0.07155927522704
9.7 0.07705903390373559
9.703125 0.08290124217184694
9.70625 0.08909995511416563
9.709375 0.09566916756864371
9.7125 0.10262274581503184
9.715625 0.10997435483301382
9.71875 0.11773738206102566
9.721875 0.1259248543378943
9.725 0.1345493500135998
9.728125 0.14362290896224578
9.73125 0.1531569339529297
9.734375 0.16316209178567204
9.7375 0.17364820814751836
9.740625 0.1846241602652794
9.74375 0.19609776467632406
9.746875 0.20807566444594366
9.75 0.22056321263108053
9.753125 0.23356435421758795
9.75625 0.24708150864988626
9.759375 0.26111544907949424
9.7625 0.27566518519873423
9.765625 0.2907278447358339
9.76875 0.3062985583981617
9.771875 0.3223703467148052
9.775 0.33893401072069695
9.778125 0.3559780285983136
9.78125 0.3734884549667128
9.784375 0.39144883018065635
9.7875 0.40984009447145026
9.790625 0.4286405120836033
9.79375 0.44782560436888663
9.796875 0.46736809369831855
9.8 0.4872378588951791
9.803125 0.507401902660243
9.80625 0.5278243335198625
9.809375 0.548466360835457
9.8125 0.5692863060293629
9.815625 0.5902396286359708
9.81875 0.6112789704865103
9.821875 0.6323542155819634
9.825 0.6534125686261582
9.828125 0.6743986523027241
9.83125 0.6952546211408951
9.834375 0.7159202971362095
9.8375 0.7363333216237451
9.840625 0.7564293270190137
9.84375 0.7761421279279389
9.846875 0.7954039297196579
9.85 0.8141455551008147
9.853125 0.8322966881146547
9.85625 0.8497861353502355
9.859375 0.8665421018428799
9.8625 0.8824924829168777
9.865625 0.8975651672519418
9.86875 0.9116883543240748
9.871875 0.9247908825224156
9.875 0.9368025631646466
9.878125 0.9476545262949113
9.88125 0.9572795663123266
9.884375 0.9656125003231654
9.8875 0.9725905153111407
9.890625 0.9781535257133728
9.89375 0.9822445218517537
9.896875 0.9848099175030194
9.9 0.9857998834715893
9.903125 0.9851686800481042
9.90625 0.9828749724540828
9.909375 0.978882128745747
9.9125 0.9731585112116499
9.915625 0.9656777393090842
9.91875 0.9564189371825333
9.921875 0.9453669556795098
9.925 0.932512571879709
9.928125 0.917852662362945
9.93125 0.9013903415841203
9.934375 0.8831350833203057
9.9375 0.8631027991028346
9.940625 0.8413158906290273
9.94375 0.8178032679136059
9.946875 0.7926003339514385
9.95 0.765748934307383
9.953125 0.7372972755260374
9.95625 0.7072998003907474
9.959375 0.6758170429188298
9.9625 0.6429154328280051
9.965625 0.6086670861958655
9.96875 0.5731495420782038
9.971875 0.5364454883821219
9.975 0.4986424432300747
9.978125 0.45983241741082803
9.98125 0.4201115428956628
9.984375 0.3795796887888379
9.9875 0.3383400420025307
9.990625 0.29649867486163195
9.99375 0.25416409674408214
9.996875 0.21144679055492877
10.0 0.1684587331095205
10.003125 0.1253129112011515
10.00625 0.0821228329831304
10.009375 0.039002031799482056
10.0125 -0.003936429402474351
10.015625 -0.0465804419793219
10.01875 -0.08881934385259646
10.021875 -0.130544391486924
10.025 -0.17164922106561945
10.028125 -0.2120303040388831
10.03125 -0.2515873718866648
10.034375 -0.29022383127932727
10.0375 -0.3278471531097637
10.040625 -0.36436923460388804
10.04375 -0.399706743165248
10.046875 -0.43378142216636884
10.05 -0.4665203692484885
10.053125 -0.49785628887630295
10.05625 -0.5277277110235606
10.059375 -0.5560791658390798
10.0625 -0.5828613377317235
10.065625 -0.6080311816144282
10.06875 -0.6315519979296607
10.071875 -0.6533934811344277
10.075 -0.6735317315817639
10.078125 -0.6919492306344361
10.08125 -0.7086347887713638
10.084375 -0.7235834548871787
10.0875 -0.7367964044437654
10.090625 -0.7482807853499789
10.09375 -0.7580495521527841
10.096875 -0.7661212598248084
10.1 -0.7725198426554586
10.103125 -0.7772743676128757
10.10625 -0.7804187694638514
10.109375 -0.7819915648765559
10.1125 -0.7820355548173693
10.115625 -0.7805975118347328
10.11875 -0.7777278576919124
10.121875 -0.7734803284058469
10.125 -0.7679116394313437
10.128125 -0.7610811409809333
10.13125 -0.7530504731156751
10.134375 -0.7438832230510342
10.1375 -0.7336445822329709
10.140625 -0.722401009330405
10.14375 -0.7102198980391772
10.146875 -0.6971692535572466
10.15 -0.6833173778855348
10.153125 -0.668732568240668
10.15625 -0.6534828244969476
10.159375 -0.6376355731491059
10.1625 -0.6212574044146386
10.165625 -0.6044138246570706
10.16875 -0.5871690277593656
10.171875 -0.5695856791777384
10.175 -0.5517247219119298
10.178125 -0.5336451975690625
10.18125 -0.5154040862890537
10.184375 -0.49705616520911733
10.1875 -0.4786538845338898
10.190625 -0.4602472619012703
10.19375 -0.44188379416493273
10.196875 -0.42360838644981735
10.2 -0.40546329840767703
10.203125 -0.38748810607373185
10.20625 -0.3697196802826994
10.209375 -0.3521921786308583
10.2125 -0.3349370529580996
10.215625 -0.31798306865653325
10.21875 -0.30135633775030635
10.221875 -0.28508036299825046
10.225 -0.2691760914322654
10.228125 -0.2536619797484587
10.23125 -0.23855406634523624
10.234375 -0.22386605219696087
10.2375 -0.20960938807917906
10.240625 -0.19579336790508717
10.24375 -0.18242522656493054
10.246875 -0.16951024209202792
